TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LOCALITY
Co-op for sale,440000,2,1,978,Kings County
Co-op for sale,375000,2,1,850,Bronx County
Condo for sale,549000,2,2,1000,Richmond County
Co-op for sale,199000,3,1,325,Kings County
Co-op for sale,350000,1,1,700,Bronx County
Condo for sale,599000,2,2,974,Queens County
Condo for sale,1300000,2,2,1244,Queens County
Condo for sale,349900,1,1,651,Richmond County
Multi-family home for sale,1299888,10,6,3156,Richmond County
Multi-family home for sale,1300000,10,8,5040,Richmond County
Co-op for sale,279000,1,1,750,Kings County
Condo for sale,528000,1,1,602,Kings County
Multi-family home for sale,1299888,11,4,3156,Richmond County
Condo for sale,1165000,1,1,815,Kings County
Co-op for sale,4250000,3,2,2400,New York County
Condo for sale,329000,2,1,837,Richmond County
Co-op for sale,220500,2,1,900,Richmond County
Condo for sale,1650000,2,2,1267,Kings County
Co-op for sale,559500,1,1,800,Kings County
Co-op for sale,750000,1,1,835,New York County
Condo for sale,1900000,2,2,1029,New York County
Condo for sale,1250000,2,2,1201,Kings County
Condo for sale,1395000,2,2,1182,Kings County
Condo for sale,1175000,2,2,1115,Kings County
Condo for sale,31000000,3,4,4492,New York County
Condo for sale,1650000,2,2,1065,New York County
Condo for sale,1650000,2,2,1065,New York County
Condo for sale,5750000,3,2,2223,New York County
Condo for sale,215000,1,1,625,New York County
Co-op for sale,539000,2,2,1100,Kings County
Co-op for sale,1295000,4,2,1995,Bronx County
Co-op for sale,280000,1,1,1000,Kings County
Condo for sale,325000,2,1,979,New York County
Condo for sale,189000,2,2,966,Richmond County
Condo for sale,759000,3,2,1200,Queens County
Condo for sale,499000,1,1,630,New York County
Co-op for sale,1399000,3,4,1993,Queens County
Condo for sale,649000,3,2,1182,Queens County
Condo for sale,500000,4,3,1794,New York County
Co-op for sale,90000,1,1,450,Bronx County
Co-op for sale,449000,2,2,1549,Queens County
Condo for sale,198000,1,1,750,Queens County
Condo for sale,725000,2,2,792,Kings County
Co-op for sale,498000,2,1,975,Kings County
Co-op for sale,385000,1,2,900,Queens County
Co-op for sale,265000,1,1,700,Queens County
Co-op for sale,288000,1,1,845,Kings County
Co-op for sale,999995,3,2,1750,New York County
Co-op for sale,1495000,2,2,1350,New York County
Co-op for sale,925000,1,1,1000,New York County
Condo for sale,2000000,4,4,3000,New York County
Co-op for sale,329000,1,1,820,Queens County
Condo for sale,800000,2,2,1257,New York County
Condo for sale,430000,2,2,1248,Richmond County
Co-op for sale,439500,3,2,1400,Queens County
Co-op for sale,69000,1,1,850,Bronx County
Condo for sale,1995000,3,2,1546,New York County
Co-op for sale,230000,1,1,620,New York County
Co-op for sale,220000,1,1,590,Queens County
Co-op for sale,475000,1,1,615,New York County
Condo for sale,320000,2,2,936,Bronx County
Co-op for sale,295000,2,1,700,Kings County
Condo for sale,285000,2,1,1000,Bronx County
Co-op for sale,328000,1,1,800,Queens County
Condo for sale,1100000,1,2,890,New York County
Co-op for sale,849000,2,1,800,Kings County
Co-op for sale,560000,3,1,550,New York County
Condo for sale,1100000,1,2,890,New York County
Co-op for sale,849000,2,1,800,Kings County
Co-op for sale,418888,2,1,900,Kings County
Condo for sale,1025000,1,1,800,New York County
Condo for sale,1375000,1,2,920,New York County
Condo for sale,875000,3,2,1437,New York County
Condo for sale,1100000,1,1,726,New York County
Co-op for sale,259000,1,1,750,Kings County
Condo for sale,850000,2,2,1005,New York County
Co-op for sale,535000,1,1,750,Kings County
Co-op for sale,339000,3,1,250,New York County
Condo for sale,2265000,2,2,1123,New York County
Co-op for sale,459000,2,1,950,Queens County
House for sale,1295000,3,4,2193,New York County
Condo for sale,289000,1,1,666,Kings County
Condo for sale,699000,1,1,616,Kings County
Condo for sale,1355000,2,2,1002,Kings County
Condo for sale,1225000,2,2,882,Kings County
Co-op for sale,105000,3,1,656,Bronx County
Co-op for sale,202000,2,1,1453,Queens County
Co-op for sale,599000,3,1,1200,Kings County
Condo for sale,235000,2,1,860,Richmond County
Co-op for sale,105509,1,1,650,Bronx County
Co-op for sale,395995,2,1,1100,Bronx County
Co-op for sale,149000,3,1,400,New York County
Co-op for sale,235000,3,2,1400,Queens County
Condo for sale,7495000,4,4,2888,New York County
Co-op for sale,275000,2,1,900,Bronx County
Condo for sale,189000,1,1,730,Richmond County
Condo for sale,965000,3,1,540,Kings County
Condo for sale,2295000,2,2,1242,New York County
Condo for sale,749000,2,2,1300,Queens County
Condo for sale,399000,3,1,500,New York County
Co-op for sale,209000,1,1,1078,Bronx County
Co-op for sale,280000,3,2,1100,Bronx County
Co-op for sale,215000,3,1,1100,Kings County
Co-op for sale,270000,2,2,900,Queens County
Co-op for sale,375000,2,2,1200,Bronx County
Condo for sale,27750000,7,8,8139,New York County
Co-op for sale,300000,2,1,900,Richmond County
Condo for sale,10500000,3,3,2753,New York County
Co-op for sale,350000,2,1,825,Kings County
Condo for sale,699000,2,2,833,Queens County
Co-op for sale,369000,1,1,1470,Queens County
Condo for sale,434900,3,2,1286,Richmond County
Co-op for sale,375000,2,2,1350,Bronx County
Co-op for sale,549000,2,2,1200,Queens County
Co-op for sale,219000,3,1,1050,Kings County
Co-op for sale,298000,3,2,1100,Bronx County
Condo for sale,379000,1,2,704,Bronx County
Condo for sale,799999,3,2,1200,Queens County
Co-op for sale,185000,2,1,600,New York County
House for sale,899000,2,1,1130,New York County
Co-op for sale,120000,2,1,600,Bronx County
Co-op for sale,229000,2,1,950,Bronx County
Condo for sale,2000000,4,3,2000,New York County
Condo for sale,50000000,6,6,6569,New York County
Co-op for sale,239000,2,1,798,Queens County
Co-op for sale,175849,2,1,850,Bronx County
Co-op for sale,750000,3,2,1750,New York County
Co-op for sale,220000,2,1,850,Bronx County
Co-op for sale,250000,2,1,950,Kings County
Condo for sale,109500,3,1,550,Richmond County
Co-op for sale,299000,3,1,640,New York County
Co-op for sale,279000,3,1,550,New York County
Condo for sale,478900,1,1,554,Queens County
Co-op for sale,149000,1,1,375,New York County
Condo for sale,355000,1,1,514,Kings County
Co-op for sale,489000,2,2,1549,Queens County
Condo for sale,2245000,2,3,1724,New York County
Co-op for sale,315000,1,1,850,Queens County
Condo for sale,699000,2,2,1766,Queens County
Co-op for sale,119000,1,1,650,Bronx County
Co-op for sale,309900,2,1,900,Bronx County
Co-op for sale,325000,3,1,622,New York County
Co-op for sale,1900000,3,2,2200,New York County
House for sale,850000,6,3,2280,Kings County
Co-op for sale,825000,2,1,800,Kings County
Co-op for sale,1075000,4,2,1800,Queens County
House for sale,1950000,5,4,4000,Bronx County
Condo for sale,578000,2,2,900,Queens County
Condo for sale,8995000,5,4,4373,New York County
Condo for sale,629000,3,2,1360,Kings County
Condo for sale,329900,2,2,993,Queens County
Condo for sale,2150000,3,1,750,New York County
Co-op for sale,307000,2,1,960,Bronx County
Condo for sale,595000,1,1,750,New York County
Co-op for sale,675000,2,2,1200,Kings County
House for sale,395000,3,1,430,New York County
Condo for sale,374900,1,1,782,Bronx County
Co-op for sale,225000,2,1,789,Richmond County
Co-op for sale,385000,2,1,800,Queens County
Co-op for sale,325000,2,1,750,New York County
Condo for sale,3895000,3,3,1884,New York County
Co-op for sale,249000,1,1,850,Bronx County
Co-op for sale,228500,1,1,750,Queens County
Co-op for sale,335000,2,1,745,Queens County
Co-op for sale,335000,2,1,745,Queens County
Condo for sale,720000,3,2,1046,Kings County
Condo for sale,499999,3,1,701,Kings County
Townhouse for sale,4250000,3,4,3376,Kings County
Co-op for sale,659000,3,2,1300,Bronx County
Co-op for sale,629000,2,2,1600,Queens County
Condo for sale,698000,2,2,824,Queens County
Condo for sale,495000,2,1,766,New York County
Co-op for sale,605000,3,2,1500,Bronx County
Condo for sale,2099000,3,2,1711,Kings County
Co-op for sale,575000,3,2,1480,Kings County
Co-op for sale,379000,2,2,1160,Kings County
Co-op for sale,250000,1,1,900,Bronx County
Co-op for sale,1275000,1,1,1000,New York County
Co-op for sale,950000,2,1,1000,New York County
Co-op for sale,269000,1,1,900,Queens County
Co-op for sale,550000,2,1,1069,Queens County
Co-op for sale,619000,2,2,1200,Kings County
Condo for sale,1395000,2,2,1793,New York County
Co-op for sale,499000,2,1,686,New York County
House for sale,1625000,4,4,2743,New York County
Co-op for sale,300000,3,1,1200,Kings County
Co-op for sale,240900,2,1,875,Bronx County
Co-op for sale,129000,1,1,750,Bronx County
Co-op for sale,265000,2,1,1100,Kings County
Co-op for sale,999000,2,1,1050,New York County
Condo for sale,60000,3,1,445,New York County
Condo for sale,479000,2,2,1008,Richmond County
Co-op for sale,450000,3,2,1026,Queens County
House for sale,879000,2,1,1000,New York County
Co-op for sale,430000,2,2,1200,Bronx County
Condo for sale,600000,3,1,441,New York County
Co-op for sale,329000,1,1,750,Kings County
Condo for sale,275000,1,1,850,Kings County
Co-op for sale,1395000,3,3,1750,New York County
Condo for sale,568000,2,1,550,Kings County
Condo for sale,568000,2,1,550,Kings County
Condo for sale,1989000,2,2,1274,New York County
Co-op for sale,169000,1,1,680,Kings County
Co-op for sale,124900,1,1,676,Bronx County
Condo for sale,2200000,3,4,1779,New York County
Townhouse for sale,588000,4,3,2160,Bronx County
Co-op for sale,439000,1,1,950,Richmond County
Townhouse for sale,588000,4,3,2160,Bronx County
Co-op for sale,385000,1,1,900,Bronx County
Condo for sale,2700000,3,3,1398,Kings County
Co-op for sale,349000,2,1,900,Bronx County
Condo for sale,750000,2,2,995,Queens County
Co-op for sale,1195000,3,3,995,Bronx County
Co-op for sale,1750000,3,3,995,New York County
Co-op for sale,324900,1,1,900,New York County
Co-op for sale,97500,2,1,791,Bronx County
Condo for sale,2200000,2,2,2035,New York County
Co-op for sale,519999,3,2,1100,Queens County
Co-op for sale,299999,2,1,857,Bronx County
Condo for sale,1389000,2,2,1043,New York County
Co-op for sale,319000,2,1,925,Queens County
Co-op for sale,255000,1,1,750,Kings County
Co-op for sale,190000,2,1,875,Bronx County
Co-op for sale,149999,1,1,850,Bronx County
Co-op for sale,208000,1,1,610,New York County
Condo for sale,1300000,2,2,1100,Kings County
Co-op for sale,310000,2,1,675,Queens County
Co-op for sale,239900,1,1,585,Queens County
Co-op for sale,257000,3,1,450,Kings County
Condo for sale,1090000,2,2,1860,Queens County
Co-op for sale,340000,2,1,900,Bronx County
Co-op for sale,775000,3,2,1880,New York County
Condo for sale,1090000,2,2,1860,Queens County
Co-op for sale,340000,2,1,900,Bronx County
Co-op for sale,699000,1,1,600,New York County
Condo for sale,425000,2,2,800,Bronx County
Co-op for sale,269000,1,1,700,Queens County
Co-op for sale,550000,3,2,1250,New York County
Condo for sale,789000,2,2,1230,Kings County
Co-op for sale,134500,3,1,503,Bronx County
Condo for sale,3595000,3,3,1862,New York County
Condo for sale,357000,3,1,1100,Bronx County
Condo for sale,499000,3,2,1156,Queens County
Co-op for sale,315000,2,1,850,Kings County
Condo for sale,595000,3,1,660,New York County
Co-op for sale,659000,1,1,440,Kings County
Co-op for sale,398000,3,2,1571,Queens County
Co-op for sale,249000,3,1,500,New York County
Co-op for sale,719000,3,2,1440,Queens County
Co-op for sale,258888,1,1,650,Kings County
Condo for sale,747000,11,1,747,New York County
Co-op for sale,385000,2,2,1100,Bronx County
Co-op for sale,349000,1,1,1017,Queens County
