TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LOCALITY
Co-op for sale,440000,2,1.0,978.0,Kings County
Co-op for sale,375000,2,1.0,850.0,Bronx County
Condo for sale,549000,2,2.0,1000.0,Richmond County
Co-op for sale,199000,3,1.0,325.0,Kings County
Co-op for sale,350000,1,1.0,700.0,Bronx County
Condo for sale,599000,2,2.0,974.0,Queens County
Condo for sale,1300000,2,2.0,1244.0,Queens County
Condo for sale,349900,1,1.0,651.0,Richmond County
Multi-family home for sale,1299888,10,6.0,3156.0,Richmond County
Multi-family home for sale,1300000,10,8.0,5040.0,Richmond County
Co-op for sale,279000,1,1.0,750.0,Kings County
Condo for sale,528000,1,1.0,602.0,Kings County
Multi-family home for sale,1299888,11,4.0,3156.0,Richmond County
Condo for sale,1165000,1,1.0,815.0,Kings County
Co-op for sale,4250000,3,2.0,2400.0,New York County
Condo for sale,329000,2,1.0,837.0,Richmond County
Co-op for sale,220500,2,1.0,900.0,Richmond County
Condo for sale,1650000,2,2.0,1267.0,Kings County
Co-op for sale,559500,1,1.0,800.0,Kings County
Co-op for sale,750000,1,1.0,835.0,New York County
Condo for sale,1900000,2,2.0,1029.0,New York County
Condo for sale,1250000,2,2.0,1201.0,Kings County
Condo for sale,1395000,2,2.0,1182.0,Kings County
Condo for sale,1175000,2,2.0,1115.0,Kings County
Condo for sale,31000000,3,4.0,4492.0,New York County
Condo for sale,1650000,2,2.0,1065.0,New York County
Condo for sale,1650000,2,2.0,1065.0,New York County
Condo for sale,5750000,3,2.0,2223.0,New York County
Condo for sale,215000,1,1.0,625.0,New York County
Co-op for sale,539000,2,2.0,1100.0,Kings County
Co-op for sale,1295000,4,2.0,1995.0,Bronx County
Co-op for sale,280000,1,1.0,1000.0,Kings County
Condo for sale,325000,2,1.0,979.0,New York County
Condo for sale,189000,2,2.0,966.0,Richmond County
Condo for sale,759000,3,2.0,1200.0,Queens County
Condo for sale,499000,1,1.0,630.0,New York County
Co-op for sale,1399000,3,4.0,1993.0,Queens County
Condo for sale,649000,3,2.0,1182.0,Queens County
Condo for sale,500000,4,3.0,1794.0,New York County
Co-op for sale,90000,1,1.0,450.0,Bronx County
Co-op for sale,449000,2,2.0,1549.0,Queens County
Condo for sale,198000,1,1.0,750.0,Queens County
Condo for sale,725000,2,2.0,792.0,Kings County
Co-op for sale,498000,2,1.0,975.0,Kings County
Co-op for sale,385000,1,2.0,900.0,Queens County
Co-op for sale,265000,1,1.0,700.0,Queens County
Co-op for sale,288000,1,1.0,845.0,Kings County
Co-op for sale,999995,3,2.0,1750.0,New York County
Co-op for sale,1495000,2,2.0,1350.0,New York County
Co-op for sale,925000,1,1.0,1000.0,New York County
Condo for sale,2000000,4,4.0,3000.0,New York County
Co-op for sale,329000,1,1.0,820.0,Queens County
Condo for sale,800000,2,2.0,1257.0,New York County
Condo for sale,430000,2,2.0,1248.0,Richmond County
Co-op for sale,439500,3,2.0,1400.0,Queens County
Co-op for sale,69000,1,1.0,850.0,Bronx County
Condo for sale,1995000,3,2.0,1546.0,New York County
Co-op for sale,230000,1,1.0,620.0,New York County
Co-op for sale,220000,1,1.0,590.0,Queens County
Co-op for sale,475000,1,1.0,615.0,New York County
Condo for sale,320000,2,2.0,936.0,Bronx County
Co-op for sale,295000,2,1.0,700.0,Kings County
Condo for sale,285000,2,1.0,1000.0,Bronx County
Co-op for sale,328000,1,1.0,800.0,Queens County
Condo for sale,1100000,1,2.0,890.0,New York County
Co-op for sale,849000,2,1.0,800.0,Kings County
Co-op for sale,560000,3,1.0,550.0,New York County
Condo for sale,1100000,1,2.0,890.0,New York County
Co-op for sale,849000,2,1.0,800.0,Kings County
Co-op for sale,418888,2,1.0,900.0,Kings County
Condo for sale,1025000,1,1.0,800.0,New York County
Condo for sale,1375000,1,2.0,920.0,New York County
Condo for sale,875000,3,2.0,1437.0,New York County
Condo for sale,1100000,1,1.0,726.0,New York County
Co-op for sale,259000,1,1.0,750.0,Kings County
Condo for sale,850000,2,2.0,1005.0,New York County
Co-op for sale,535000,1,1.0,750.0,Kings County
Co-op for sale,339000,3,1.0,250.0,New York County
Condo for sale,2265000,2,2.0,1123.0,New York County
Co-op for sale,459000,2,1.0,950.0,Queens County
House for sale,1295000,3,4.0,2193.0,New York County
Condo for sale,289000,1,1.0,666.0,Kings County
