Region,Month of Period End,Median Sale Price in Thousands,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List as %,Average Sale To List MoM ,Average Sale To List YoY ,Average Listing Price Thousands
 National,January 2012,159.0,-6.4%,-4.5%,"274,440",-23.4%,8.3%,"484,602",50.5%,-3.1%,"2,049,105",0.4%,-17.4%,96,2,-8,95.6,-0.1%,0.2%,166
 National,February 2012,160.0,0.5%,-1.7%,"302,861",10.4%,13.6%,"519,888",7.3%,5.1%,"2,072,992",1.2%,-16.8%,97,1,-11,95.8,0.2%,0.3%,167
 National,March 2012,171.0,7.0%,4.2%,"391,338",29.2%,6.7%,"628,654",20.9%,-5.2%,"2,114,864",2.0%,-16.8%,92,-4,-12,96.2,0.4%,0.6%,177
 National,April 2012,178.0,4.1%,6.0%,"401,864",2.7%,8.2%,"613,059",-2.5%,-2.5%,"2,151,796",1.7%,-16.9%,80,-12,-17,96.5,0.3%,0.7%,184
 National,May 2012,186.0,4.7%,8.2%,"460,892",14.7%,16.4%,"614,774",0.3%,-0.4%,"2,160,175",0.4%,-17.4%,72,-8,-17,96.9,0.3%,1.0%,191
 National,June 2012,194.0,4.1%,7.4%,"484,687",5.2%,9.8%,"580,831",-5.5%,-3.5%,"2,142,088",-0.8%,-17.7%,68,-4,-16,97.0,0.2%,1.0%,200
 National,July 2012,192.0,-1.0%,7.3%,"447,950",-7.6%,13.9%,"544,243",-6.3%,2.5%,"2,104,453",-1.8%,-17.6%,68,0,-15,97.1,0.0%,1.1%,197
 National,August 2012,191.0,-0.7%,8.6%,"482,141",7.6%,14.6%,"539,783",-0.8%,1.2%,"2,043,029",-2.9%,-17.6%,70,2,-16,97.0,-0.1%,1.1%,196
 National,September 2012,187.0,-1.8%,8.8%,"389,730",-19.2%,4.2%,"481,394",-10.8%,-0.4%,"2,002,125",-2.0%,-16.7%,72,2,-17,97.0,0.0%,1.2%,192
 National,October 2012,185.0,-1.1%,10.2%,"420,457",7.9%,22.6%,"489,438",1.7%,5.4%,"1,926,705",-3.8%,-17.0%,73,1,-18,97.0,0.0%,1.2%,190
 National,November 2012,189.0,2.4%,11.2%,"396,038",-5.8%,20.3%,"387,603",-20.8%,-2.7%,"1,814,070",-5.8%,-18.1%,73,0,-19,96.9,0.0%,1.2%,195
 National,December 2012,194.0,2.2%,13.9%,"388,938",-1.8%,8.6%,"298,727",-22.9%,-7.2%,"1,655,718",-8.7%,-18.9%,76,3,-18,96.9,-0.1%,1.1%,200
